0.6,0.4
0.57,0.43
0.2,0.8
0.24,0.76
0.42,0.58
0.76,0.24
0.38,0.62
0.61,0.39
0.63,0.37
0.83,0.17
0.22,0.78
0.88,0.12
0.32,0.68
0.91,0.09
0.47,0.53
0.43,0.57
0.82,0.18
0.04,0.96
0.91,0.09
0.86,0.14
0.17,0.83
0.18,0.82
0.35,0.65
0.21,0.79
0.69,0.31
0.07,0.93
0.64,0.36
0.82,0.18
0.45,0.55
0.55,0.45
0.11,0.89
0.1,0.9
0.96,0.04
0.66,0.34
0.48,0.52
0.62,0.38
0.94,0.06
0.42,0.58
0.92,0.08
0.87,0.13
0.53,0.47
0.42,0.58
0.39,0.61
0.01,0.99
0.63,0.37
0.13,0.87
0.99,0.01
0.5,0.5
0.09,0.91
0.56,0.44
0.21,0.79
0.76,0.24
0.21,0.79
0.72,0.28
0.19,0.81
0.79,0.21
0.27,0.73
0.46,0.54
0.5,0.5
0.29,0.71
0.6,0.4
0.69,0.31
0.73,0.27
0.93,0.07
0.88,0.12
0.96,0.04
0.18,0.82
0.37,0.63
0.72,0.28
0.33,0.67
1,0
0.97,0.03
0.77,0.23
0.96,0.04
0.62,0.38
0.5,0.5
0.66,0.34
0.68,0.32
0.27,0.73
0.62,0.38
0.17,0.83
0.92,0.08
0.7,0.3
0.97,0.03
0.74,0.26
0.51,0.49
0.88,0.12
0.92,0.08
0.62,0.38
0.12,0.88
0.87,0.13
0.91,0.09
0.16,0.84
0.71,0.29
0.17,0.83
0.65,0.35
0.91,0.09
0.86,0.14
0.28,0.72
0.53,0.47
0.31,0.69
0.83,0.17
0.2,0.8
0.47,0.53
0.53,0.47
0.94,0.06
0.54,0.46
0.55,0.45
0.96,0.04
0.03,0.97
0.16,0.84
0.3,0.7
0.66,0.34
0.22,0.78
0.62,0.38
0.6,0.4
0.7,0.3
0.32,0.68
0.86,0.14
0.28,0.72
0.66,0.34
0.92,0.08
1,0
0.77,0.23
0.59,0.41
0.05,0.95
0.71,0.29
0.39,0.61
0.43,0.57
0.99,0.01
0.09,0.91
0.98,0.02
0.76,0.24
0.01,0.99
0.25,0.75
0.59,0.41
0.45,0.55
0.89,0.11
0.41,0.59
0.59,0.41
0.42,0.58
0.5,0.5
0.92,0.08
0.99,0.01
0.07,0.93
0.36,0.64
0.27,0.73
0.45,0.55
0.6,0.4
0.36,0.64
0.77,0.23
0.53,0.47
0.4,0.6
0.22,0.78
0.7,0.3
0.43,0.57
0.45,0.55
0.7,0.3
0.31,0.69
0.02,0.98
0.04,0.96
0.16,0.84
0.02,0.98
0,1
0.08,0.92
0.98,0.02
0.52,0.48
0.69,0.31
0.29,0.71
0.1,0.9
0.29,0.71
0.53,0.47
0.14,0.86
0.44,0.56
0.03,0.97
0.39,0.61
0.74,0.26
0.58,0.42
0.47,0.53
0.2,0.8
0.66,0.34
0.28,0.72
0.63,0.37
0.35,0.65
0.32,0.68
0.25,0.75
0.1,0.9
0.81,0.19
0.89,0.11
0.95,0.05
0.95,0.05
0.94,0.06
0.15,0.85
0.51,0.49
0.7,0.3
0,1
0.07,0.93
0.45,0.55
0.74,0.26
0.86,0.14
0.83,0.17
0.64,0.36
0.36,0.64
0.38,0.62
0.5,0.5
0.56,0.44
0.15,0.85
0.88,0.12
0.1,0.9
0.26,0.74
0.23,0.77
0.73,0.27
0.25,0.75
0.34,0.66
0.11,0.89
0.74,0.26
0.83,0.17
0.72,0.28
0.63,0.37
0.44,0.56
0.33,0.67
0.38,0.62
0.32,0.68
0.17,0.83
0.83,0.17
0.92,0.08
0.24,0.76
0.51,0.49
0.28,0.72
0.62,0.38
0.91,0.09
0.9,0.1
0.08,0.92
0.59,0.41
0.6,0.4
0.01,0.99
0.45,0.55
0.66,0.34
0.49,0.51
0.24,0.76
0.16,0.84
0.99,0.01
0.65,0.35
0.8,0.2
0.45,0.55
0.92,0.08
0.13,0.87
0.58,0.42
0.1,0.9
0.7,0.3
0.25,0.75
0.85,0.15
0.42,0.58
0.19,0.81
0.74,0.26
0.75,0.25
0.94,0.06
0.76,0.24
0.82,0.18
0.46,0.54
0.3,0.7
0.21,0.79
0.61,0.39
0.43,0.57
0.64,0.36
0.52,0.48
0.62,0.38
0.28,0.72
0.13,0.87
0.44,0.56
0.25,0.75
0.66,0.34
0.2,0.8
0.87,0.13
0.19,0.81
0.89,0.11
0.97,0.03
0.17,0.83
0.75,0.25
0.34,0.66
0.1,0.9
0.69,0.31
1,0
0.28,0.72
0.23,0.77
0.66,0.34
0.26,0.74
0.32,0.68
0.46,0.54
0.72,0.28
0.49,0.51
0.68,0.32
0.28,0.72
0.81,0.19
0.37,0.63
0.32,0.68
