0.55,0.45
0.72,0.28
0.15,0.85
0.75,0.25
0.97,0.03
0.05,0.95
0.76,0.24
0.1,0.9
0.52,0.48
0.35,0.65
0.21,0.79
0.83,0.17
0.36,0.64
0.51,0.49
0.73,0.27
0.68,0.32
0.93,0.07
0.62,0.38
0.07,0.93
0.66,0.34
0.49,0.51
0.21,0.79
0.08,0.92
0.51,0.49
0.63,0.37
0.12,0.88
0.15,0.85
0.1,0.9
0.02,0.98
0.06,0.94
0.94,0.06
0.05,0.95
0.32,0.68
0.07,0.93
0.42,0.58
0.34,0.66
0.62,0.38
0.31,0.69
0.99,0.01
0.45,0.55
0.67,0.33
0,1
0.03,0.97
0.23,0.77
0.87,0.13
0.92,0.08
0.82,0.18
0.11,0.89
0.57,0.43
0.62,0.38
0.92,0.08
0.96,0.04
0.57,0.43
0.27,0.73
0.95,0.05
0.55,0.45
0.43,0.57
0.22,0.78
0.11,0.89
0.95,0.05
0.02,0.98
0.34,0.66
0.93,0.07
0.82,0.18
0.57,0.43
0.95,0.05
0.7,0.3
0.38,0.62
0.96,0.04
0.02,0.98
0.02,0.98
0.76,0.24
0.37,0.63
0.7,0.3
0.75,0.25
0.57,0.43
0.46,0.54
0.3,0.7
0.4,0.6
0.79,0.21
0.57,0.43
0.58,0.42
0.61,0.39
0.44,0.56
0.77,0.23
0.6,0.4
0.02,0.98
0.16,0.84
0.85,0.15
0.19,0.81
0.33,0.67
0.53,0.47
0.9,0.1
0.29,0.71
0.43,0.57
0.73,0.27
0.89,0.11
0.06,0.94
0.31,0.69
0.43,0.57
0.62,0.38
0.35,0.65
0.13,0.87
0.74,0.26
0.06,0.94
0.15,0.85
0.21,0.79
0.57,0.43
0.95,0.05
0.57,0.43
0.55,0.45
0.21,0.79
0.81,0.19
0.17,0.83
0.77,0.23
0.61,0.39
0.51,0.49
0.85,0.15
0.41,0.59
0.74,0.26
0.32,0.68
0.01,0.99
0.27,0.73
0.1,0.9
0.17,0.83
0.39,0.61
0.14,0.86
0.12,0.88
0.84,0.16
0.79,0.21
0.5,0.5
0.95,0.05
0.86,0.14
0.97,0.03
0.81,0.19
0.85,0.15
